heCode,name,before,after
"HE-N-B-M12","九首彩凤白底圆绣片","传统婚嫁喜庆汉绣小品","当代复原"
"HE-N-B-M01","鸿图大展双狮戏绣球汉绣","当代，国家级传承人任本荣晚年创作","当代"
"HE-N-B-B10","三色牡丹黑底装饰绣片","传统服饰镶边复刻汉绣","当代复原"
"HE-N-B-B03","丹凤牡丹圆框汉绣","现代节庆文创台屏绣芯","当代复原"
"HE-H-S-M12","鸳鸯荷花繁花汉绣","当代传统婚嫁花鸟题材汉绣","当代复原"
"HE-N-B-B09","黑底五福捧寿圆团花绣","清代官服补子复原汉绣","当代复原（参考清代）"
"HE-H-S-B08","军运兵兵江城地标深蓝底纪念汉绣","第七届世界军人运动会城市纪念文创汉绣","当代（2019年）"
"HE-N-B-R03","凤栖牡丹橙底汉绣","当代传统富贵花鸟题材汉绣","当代复原"
"HE-N-S-M01","凤鸣楚天群凤横向壁挂汉绣","荆楚地域文化主题装饰汉绣","当代复原（参考战国）"
"HE-N-L-R02","半开粉荷白底汉绣","当代极简文人花卉小品汉绣","当代复原"
"HE-N-B-R01","双狮戏绣球圆框汉绣","当代传统瑞兽吉祥题材汉绣","当代复原"
"HE-N-B-B01","双龙捧寿银线汉绣","传统福寿纹样当代复原汉绣","当代复原（参考明清）"
"HE-N-S-M04","古黄鹤楼彩凤群鹤竖幅装饰汉绣","武汉城市地标竖幅文创绣品","当代"
"HE-H-S-R02","红底古黄鹤楼群鹤方形绣片","武汉城市纪念礼品汉绣","当代"
"HE-N-B-M03","喜迎二十大金凤和平牡丹主题汉绣","当代红色主题创新汉绣作品","当代（2022年）"
"HE-H-S-A02","圆框金线黄鹤楼山水汉绣","高端城市纪念台屏绣芯","当代"
"HE-N-B-M14","五彩彩凤祥云局部绣片","汉剧戏服局部绣复刻","当代复原"
"HE-N-B-B04","旭日金龙戏珠蓝底汉绣","传统祥龙祈福题材当代汉绣","当代复原"
"HE-N-B-M05","松鹤延年圆形框装汉绣","长辈祝寿专用圆台屏绣芯","当代复原"
"HE-N-S-A01","楚凤江城图圆框汉绣","当代荆楚文化主题创新汉绣","当代"
"HE-H-L-M10","楚式对称凤鹿复古白地汉绣","荆楚楚文化复原主题当代汉绣","当代复原（参考战国）"
"HE-N-B-B14","橄榄绿底双鹤朝日圆台屏绣芯","高端祝寿台屏汉绣","当代复原"
"HE-N-B-M07","橙底荷塘花鸟围兜汉绣","传统民间儿童服饰绣品","当代复原"
