heCode,name,before,after
"HE-N-B-M12","九首彩凤白底圆绣片","色彩判定：白底搭配红、绿、橙、紫多色，多色系","纹样判定：凤凰、花草或云纹，属于自然纹样；寓意判定：寓意祥瑞、美好与兴盛，属于吉祥祈福类；色彩判定：主色比例为灰色占比39%，红色占比12%，粉色占比9%，绿色占比9%，橙色占比9%，归多色系"
"HE-N-B-M01","鸿图大展双狮戏绣球汉绣","纹样判定：主体为狮子、花卉，属于自然瑞兽花鸟物象；寓意判定：寄托事业兴旺、阖家美满，属于吉祥祈福类；色彩判定：红、黄、绿、蓝、金多色均衡分布，无单一主色","纹样判定：狮子、绣球、花叶，属于自然纹样；寓意判定：寓意纳福、喜庆与护佑、寓意圆满与喜庆，属于吉祥祈福类；色彩判定：主色比例为蓝色占比73%，黄色占比13%，归多色系"
"HE-N-B-B10","三色牡丹黑底装饰绣片","色彩判定：黑色基底为主，归蓝黑色系","纹样判定：牡丹、花叶，属于自然纹样；寓意判定：寓意富贵、繁荣与圆满，属于吉祥祈福类；色彩判定：主色比例为黑色占比68%，黄色占比14%，绿色占比8%，归蓝绿色系"
"HE-N-B-B03","丹凤牡丹圆框汉绣","暂无资料","纹样判定：凤凰、花草或云纹、牡丹、花叶，属于自然纹样；寓意判定：寓意祥瑞、美好与兴盛、寓意富贵、繁荣与圆满，属于吉祥祈福类；色彩判定：主色比例为蓝色占比48%，绿色占比14%，红色占比14%，白色占比7%，灰色占比4%，归蓝绿色系"
"HE-H-S-M12","鸳鸯荷花繁花汉绣","纹样判定：主体鸳鸯、荷花、各类花草藤蔓，属于自然花鸟物象；寓意判定：鸳鸯象征夫妻恩爱，荷花寓意和和美美，整体为婚嫁祈福类；色彩判定：红、粉、黄、蓝、绿、紫多色丝线均衡分布，无单一主导色调","纹样判定：荷花、莲叶或水禽、鸳鸯、花鸟，属于人文 / 民俗纹样；寓意判定：按HE寓意分类归为精神信仰类；色彩判定：主色比例为蓝色占比41%，灰色占比14%，黄色占比9%，绿色占比7%，橙色占比6%，归多色系"
"HE-N-B-B09","黑底五福捧寿圆团花绣","色彩判定：黑底为主，红、蓝、金点缀，蓝黑色系","纹样判定：蝙蝠、寿字或花果、寿字、花果或祥瑞纹样，属于自然纹样；寓意判定：寓意福寿、纳福与安康、寓意长寿、安康与福寿双全，属于吉祥祈福类；色彩判定：主色比例为黑色占比59%，蓝色占比17%，红色占比10%，黄色占比5%，归蓝绿色系"
"HE-H-S-B08","军运兵兵江城地标深蓝底纪念汉绣","色彩判定：深蓝缎面基底为画面基底主视觉，彩色物象仅衬托，蓝黑色系","纹样判定：按HE分类归为人文 / 民俗纹样；寓意判定：按HE寓意分类归为精神信仰类；色彩判定：主色比例为蓝色占比73%，灰色占比6%，黄色占比5%，黑色占比4%，白色占比4%，归蓝绿色系"
"HE-N-B-R03","凤栖牡丹橙底汉绣","暂无资料","纹样判定：凤凰、花草或云纹、牡丹、花叶，属于自然纹样；寓意判定：寓意祥瑞、美好与兴盛、寓意富贵、繁荣与圆满，属于吉祥祈福类；色彩判定：主色比例为棕色占比39%，金色占比25%，绿色占比8%，橙色占比7%，黑色占比6%，归红色系"
"HE-N-S-M01","凤鸣楚天群凤横向壁挂汉绣","暂无资料","纹样判定：凤凰、花草或云纹，属于自然纹样；寓意判定：按HE寓意分类归为精神信仰类；色彩判定：主色比例为黑色占比33%，蓝色占比26%，红色占比14%，绿色占比10%，橙色占比7%，归多色系"
"HE-N-L-R02","半开粉荷白底汉绣","暂无资料","纹样判定：荷花、莲叶或水禽，属于自然纹样；寓意判定：按HE寓意分类归为生活志趣类；色彩判定：主色比例为橙色占比51%，红色占比46%，归红色系"
"HE-N-B-R01","双狮戏绣球圆框汉绣","暂无资料","纹样判定：狮子、绣球、花叶，属于自然纹样；寓意判定：寓意纳福、喜庆与护佑、寓意圆满与喜庆，属于吉祥祈福类；色彩判定：主色比例为红色占比43%，黄色占比18%，粉色占比11%，灰色占比6%，紫色占比6%，归红色系"
"HE-N-B-B01","双龙捧寿银线汉绣","纹样判定：双龙、祥云、火焰，属于自然瑞兽云纹物象；寓意判定：祈求福寿双全、长辈安康，属于吉祥祈福类；色彩判定：湖蓝绸缎底色 + 深浅银蓝绣线，整体以蓝色为主视觉","纹样判定：双龙、祥云、寿字、花果或祥瑞纹样，属于自然纹样；寓意判定：寓意护佑、福寿与圆满、寓意长寿、安康与福寿双全，属于吉祥祈福类；色彩判定：主色比例为蓝色占比76%，灰色占比19%，归蓝绿色系"
"HE-N-S-M04","古黄鹤楼彩凤群鹤竖幅装饰汉绣","暂无资料","纹样判定：凤凰、花草或云纹、黄鹤楼、云鹤或山水，属于自然纹样；寓意判定：承载武汉地域文化记忆，属于精神信仰类；色彩判定：主色比例为金色占比40%，黄色占比16%，绿色占比15%，橙色占比14%，红色占比8%，归多色系"
"HE-H-S-R02","红底古黄鹤楼群鹤方形绣片","暂无资料","纹样判定：黄鹤楼、云鹤或山水、仙鹤、云纹或日月意象，属于人文 / 民俗纹样；寓意判定：承载武汉地域文化记忆，属于精神信仰类；色彩判定：主色比例为棕色占比33%，金色占比26%，绿色占比15%，橙色占比12%，红色占比7%，归红色系"
"HE-N-B-M03","喜迎二十大金凤和平牡丹主题汉绣","纹样判定：金凤、牡丹、和平鸽、麦穗，均为自然物象；寓意判定：祈愿国家昌盛、民生富足、国泰安宁，属于吉祥祈福类；色彩判定：金、红、粉、绿、黄、白多色搭配均衡，无单一主色","纹样判定：凤凰、花草或云纹、牡丹、花叶，属于自然纹样；寓意判定：寓意祥瑞、美好与兴盛、寓意富贵、繁荣与圆满，属于吉祥祈福类；色彩判定：主色比例为红色占比61%，黄色占比9%，绿色占比8%，橙色占比5%，金色占比4%，归多色系"
"HE-H-S-A02","圆框金线黄鹤楼山水汉绣","暂无资料","纹样判定：黄鹤楼、云鹤或山水、仙鹤、云纹或日月意象，属于人文 / 民俗纹样；寓意判定：承载武汉地域文化记忆，属于精神信仰类；色彩判定：主色比例为灰色占比30%，橙色占比23%，黄色占比18%，黑色占比13%，红色占比7%，归金色系"
